new_sku_id,product_type,price_scale,mean_analogue_price,new_sku_price,top1_similarity,analogue_RMSE,analogue_MAE,analogue_MASE,analogue_Bias,bayesian_RMSE,bayesian_MAE,bayesian_MASE,bayesian_Bias,naive_RMSE,naive_MAE,naive_MASE,naive_Bias,random_RMSE,random_MAE,random_MASE,random_Bias,oracle_RMSE,oracle_MAE,oracle_MASE,oracle_Bias
0738133005,Vest top,0.9886792859877097,0.011703774910428701,0.0118377871128719,0.9999999999999998,48.9543660586887,38.572075491228745,0.8330561499041079,-28.892072469580206,13.751226420979979,10.834852666075491,0.23400453648991798,-8.11575069370231,61.35606600604407,46.30189152996317,1.0,-46.30189152996317,77.74959806970065,66.0,1.4254277270139097,-66.0,58.606740226700886,49.25,1.063671447809622,49.25
0738236002,Dress,0.9657906786082351,0.02727694275779605,0.02824312075273271,0.9999999999999998,73.40447347174415,41.99906906371472,0.848915835929762,-41.23852693361682,20.61923412127643,11.797491310032218,0.2384595044746521,-11.583855880229436,80.02707878771088,49.47377264757452,1.0,-41.807349503214496,92.34581744724555,60.75,1.2279233369314984,-60.75,82.46665992993775,54.75,1.106646957975301,-47.25
0738242001,Dress,1.0214955099645104,0.02976212711313917,0.029135837429352177,1.0000000000000002,27.085493194873404,25.117997383122116,1.4400332901098427,25.117997383122116,7.608284605301516,7.055617242450031,0.404503733176922,7.055617242450031,17.5349934320408,17.442650496785507,1.0,17.442650496785507,8.616843969807043,7.75,0.44431320810035385,7.75,3.3541019662496847,3.25,0.18632489371950323,-2.25
0738242002,Dress,1.004057063367432,0.029607653242263606,0.02948801848269929,0.9999999999999997,8.346901273565411,7.005581786307879,0.4688312684429669,7.005581786307879,2.3446351892037667,1.9678600523336733,0.13169417652892326,1.9678600523336733,15.201944597318885,14.942650496785507,1.0,14.942650496785507,5.916079783099616,5.5,0.36807392377832643,-5.5,3.5,2.75,0.18403696188916321,-1.25
0738279008,Vest top,1.2110585243802992,0.009811626689047096,0.008101694915254176,1.0,1.4779805570767321,1.4750795900147742,0.07683463151158791,0.8176724041898515,0.4151630778305426,0.4143481994423522,0.021582761660558395,0.22968325960389074,19.43754334215817,19.198108470036825,1.0,19.198108470036825,1.224744871391589,1.0,0.05208846494230074,0.5,1.5811388300841898,1.5,0.07813269741345111,0.0
0738309001,Vest top,1.1443245263384845,0.0066086888290726176,0.00577518761239747,0.9999999999999998,13.320304074140731,11.055111389536867,0.9453858219270845,1.6324106365252256,3.7416584477923402,3.1053683678474346,0.2655578151480575,0.4585423136306819,12.84195003622949,11.693756277201206,1.0,8.698108470036825,15.47578754054216,13.0,1.1117043738414079,-4.0,13.527749258468683,10.0,0.8551572106472368,-1.0
0738320005,Top,1.2575269444460158,0.0411549290230538,0.032726876513317155,1.0,10.756542727781158,9.047866928088595,0.49077068089947457,9.047866928088595,3.0215007662306617,2.5415356539574696,0.137856932836931,2.5415356539574696,19.043627862101925,18.436038011695906,1.0,18.436038011695906,26.528286789764618,23.75,1.2882377431058067,23.75,3.0,2.5,0.13560397295850599,-0.5
0738368007,Dress,0.9547627873624049,0.02363355876251864,0.024753330434890433,0.9999999999999998,28.268904571017927,27.744444062069036,3.250966191841902,27.744444062069036,7.940703531184813,7.79338316350254,0.9131927505173885,7.79338316350254,9.991580622844273,8.534214884083383,1.0,3.9426504967855065,20.359273071502333,17.5,2.0505694123824005,-17.5,24.550967394381836,21.75,2.5485648411038406,8.25
0738431002,T-shirt,1.1751734393414364,0.0392310716732431,0.03338321847643874,1.0,4.514784910014318,3.8716308000359225,0.41738691874026507,3.8716308000359225,1.268198008430988,1.0875367415831243,0.11724351650007446,1.0875367415831243,9.484726237112866,9.275879588466912,1.0,6.279626571827766,13.238202294873727,12.75,1.3745327198784045,12.75,6.103277807866851,3.75,0.40427432937600133,-3.75
0738435002,Top,1.3160813208092401,0.06906884372191946,0.05248068081343939,1.0,7.175744134638604,6.442992263432085,0.3231831851269628,6.442992263432085,2.015658464786124,1.8098292874809223,0.09078179357498953,1.8098292874809223,20.373293012989084,19.936038011695906,1.0,19.936038011695906,41.4578098794425,30.75,1.5424328536071135,30.75,1.0,0.5,0.025080209001741682,-0.5
